step,reward,cumulative_reward,instantaneous_regret,cumulative_regret,moving_average_reward
0,0.760222,0.760222,0.12638500000000008,0.12638500000000008,0.760222
1,0.475228,1.23545,0.41137900000000005,0.5377640000000001,0.617725
2,0.274757,1.5102069999999999,0.61185,1.1496140000000001,0.5034023333333333
3,0.856377,2.366584,0.03022999999999998,1.1798440000000001,0.591646
4,0.722446,3.08903,0.164161,1.3440050000000001,0.6178060000000001
5,0.163766,3.252796,0.7228410000000001,2.066846,0.5421326666666667
6,0.637565,3.890361,0.24904199999999999,2.315888,0.5557658571428571
7,0.681905,4.572266,0.20470200000000005,2.5205900000000003,0.57153325
8,0.488074,5.06034,0.398533,2.9191230000000004,0.56226
9,0.556806,5.617146,0.329801,3.2489240000000006,0.5617146
10,0.522794,6.13994,0.36381300000000005,3.6127370000000005,0.5379718
11,0.808612,6.948552,0.07799500000000004,3.6907320000000006,0.5713102
12,0.622038,7.57059,0.26456900000000005,3.9553010000000004,0.6060383
13,0.831643,8.402233,0.05496400000000001,4.010265,0.6035649
14,0.444785,8.847018,0.44182200000000005,4.452087000000001,0.5757987999999999
15,0.861993,9.709011,0.024614000000000025,4.476701,0.6456215000000001
16,0.886607,10.595618,0.0,4.476701,0.6705257
17,0.845478,11.441096,0.04112900000000008,4.51783,0.6868829999999999
18,0.804036,12.245132,0.08257100000000006,4.600401,0.7184792
19,0.452242,12.697374,0.43436500000000006,5.034765999999999,0.7080228
20,0.590415,13.287789,0.296192,5.330957999999999,0.7147849
21,0.704789,13.992578,0.18181800000000004,5.512775999999999,0.7044026000000001
22,0.707758,14.700336,0.17884900000000004,5.691624999999998,0.7129746000000001
23,0.154124,14.85446,0.732483,6.424107999999999,0.6452227
